InstructorStrength,InstructorRecommend,CommentsOnEffective
,"While discussion questions were good, we spent WAY too much time on each one. I felt like I spent the majority of lecture time sitting and waiting for Dr. McCully to walk around and answer individual questions. I would recommend sticking to the 5 minutes alloted to discuss the questions and then returning to discuss with the whole group.",
,"I would recommend reordering your slides/lecture. Content was great, but a little hard to follow because order was confusing.",
,,
"Good use of visual aid.","I think it wouldve been better to go over the video lecture in class and use the visual aids as handout rather than ""active learning"" exercise.",
"Lots of extra practice problems and worksheets helped to solidify concepts. Sample board problems were helpful.","The 3 hours lecture was not paced well. Took frequent breaks that seemed unnecessary. I wouldve appreciated for us to pound out the lecture in 1-2 hours and have the extra hour for early lunch or free study.","I really appreciate Dr. Olyaeis drug tables consisting of concise information on drugs, including ADR. I hope all pharmacology lectures will adopt that method of categorizing information into tables."
"Responsive to students concerns. Willing to engage with students in discussion.",No,
"Lectures are informative. The powerpoints have lots of good visual aids which is extremely helpful in histology.","Have the lecture in class. I think having the 1st hour for lecture and the next 30 min to 1 hour on Slidebox is better than the flipped classroom idea.",
"I liked the tilt table example to show practical applications of teaching objectives.","I think it wouldv been more efficient to go over the problems/questions as a class rather than independently in small groups.",
"Lots of good visual aids.",No.,
"TBL was interesting as usual.",No.,
"I really like having the videos posted online to help me study ahead of class.",,
"Clear and concise speaker",none,
,,
"Really excellent lecture. Engaging and clear. Thank you!",,
"I really appreciated the fact that Dr. Chien attempted to explain topics from a rudimentary level and work his way up.",None,
"Really funny. Tied in something fun to the material",none,
,,
,,
"Use of fun things like Princess Bride to help explain confusing physiology concepts = always a plus.","I wouldve appreciated having the powerpoints prior to the lecture to take notes with.",
"Dr. Nelsen is great! She is one of my favorite instructors. I found the reading to be very helpful. Unfortunately I did not do it until after class, because most professors assign to much reading and so I have stopped doing it altogether. I think I would have gotten more out of the lecture if I had done the reading.","The worksheets were a tad bit confusing. I used this website from University of Michigan as a supplement and found it very helpful: http://www.med.umich.edu/lrc/coursepages/m1/anatomy2010/html/courseinfo/module_index.html. Perhaps next years students would enjoy it as well.","I do not understand why Dr. Camerons lectures wasnt one of the first ones given this week. The organization of this curriculum baffles me at times. Also there were about ten different tables used to describe the various adrenergic receptors. It would be helpful if these were combined into a more succinct table."
,"This was not a good format for teaching us pharmacology. It is very frustruating when I show up for class, only to be asked to teach myself. I would much rather do this on my own time and in my own way rather than sitting in groups and looking up drugs on Wikipedia. Please do not repeat this format.",
,,
"One of the most organized professors we have had. Very clear and methodical. Does not belabor irrelevant points.",,
,,
,"I do not know why we did not discuss nutrition that is relevant to the heart, considering the week was focused on cardiology. I know that she probably was assigned the topics she was supposed to cover, and that it probably is not her fault. Again, the organization of the block baffles me.",
"The group activities and team learning are a waste of time - instead of having us fill out worksheets just provide all of the materials ahead of time completely filled in and then let us just memorize it.  This is a much better use of our time.","The group activity and time spent filling our worksheets was a waste of time and I didnt get anything out of it.  I had to go relearn everything on my own.  Just give us the material and lecture, make it simple for us.",
"I like the way that we are learning to write problem representations, but I find doing it as a group to be less helpful. Usually the outspoken people just take charge and there is very little actual learning by the remainder of the group. It would be more helpful to submit them individually as part of the irat and then have the best ones read aloud by the instructor to the class. Just a thought.","I like the concept of problem representations. I still find the iRAT questions to be bizarre and generally a waste of time. There is no reason to spend an hour going over three questions. I would rather just be taught the information. (Additionally, the pre-reading materials often fail to address the actual questions and require substantial outside research).","This week is not off to a good start. In what world do you start a cardiovascular, pulmonary and renal block without covering basic anatomy of these structures in the first lecture. I do not understand how it could be so difficult to grasp the concept of progressive teaching - start with basics and gradually progress to more complex topics. Instead, we start with complex topics and regress. So grateful that my undergraduate institution had an excellent A&P program - otherwise I would be totally lost right now. I truly pity my fellow classmates. <br>Side note: I apologize for any ranting I may do this term. I have, in the past, deferred from commenting on these evaluations, as I prefer not to dwell on the negative aspects of this curriculum. However, in light of recent threats of professional forms, I have been forced to narrate my inner thoughts here."
"Clear, concise and well organized. Dr. Nelsen is a wonderful teacher.",none,
"challenges the students","give more introduction to drugs and basic physiology first before taking it a step further and testing our knowledge. it is very hard to keep all the drugs straight when we didnt have a basic introduction.","i felt like this session was not very effective because of the lack of basic knowledge."
,,
,,
,,
,,
,,
"Excellent instruction on this topic. For this particular lecture, it was highly effective to have us watch a pre-recorded lecture and then draw out the pathways to understand their differences. I think there was some confusion as to what was being asked initially. Perhaps, it would be helpful to go through one example of a pathway with us on the document camera and then we can walk through the other three in our groups in class. Overall, the interactive component and organization were very well done.",,
,,
,,
"clear and engaging, concise and good explaining concepts. we appreciate that he started with the basics!",,
,,
"clear and concise. i loved that his general overview was actually a general overview and he did not present us with excessive details. his presentation was very easy to pay attention to.",,
,"I would have appreciated a study guide to review more of the information before class.  Ideally this would be similar to the one that Dr. Chien provided.",
,,
"Your study guide and handout were helpful but I think where the instruction was lacking most was in 1) your speed and 2) your explanations of how you had changed things. I appreciate your effort and time spent on creating this lecture, but the organization was quite difficult to wrap my head around. Perhaps a slide at the beginning quickly referencing the outline of the lecture. As I was reviewing lecture material and using outside resources (namely Youtube), I found it most helpful to think of the receptor categories (briefly) and then explain some of the drugs (pick the top 3 for example). If we understand how those work, then we can much more easily figure out the effect and other similar or antagonistic drugs. Use hypertension or hypotension as great starting points for cases. I think it would also be helpful to speak somewhat faster during lecture.",,
"I enjoyed your lecture and how you incorporated humor. One complaint I have is in noticing terms and concepts in the objectives which were not even touched on in lecture. If there is something you would like us to get outside of lecture, please make a note of these explicitly (although of course, we dont want to have to read extra to learn something not taught in lecture). It made things somewhat more confusing during study time when we realized there were several more objectives than were covered in class.",,
"Having the ability to speed up the lectures and still see the image was great! Similarly, it was very helpful that you created the narrative on slide box including links to the annotations. Very clear. Thank you for having all the faculty available for questions as well.",,
"Materials were great.  Slides are concise with clear information","Order of material presented could be improved.  we should first go over the basics of what is the sympathetic chain?? then discuss how depending on what youre innervating, the way the nerves get there is different.  then go through the worksheets in order to compare and contrast each one.  then watch the video (since it was extremely dense and synthesized the material).<br><br>I came to class hoping to have the video explained since I didnt understand it whatsoever, and instead we were told to work on the worksheets--which I had no idea how to fill out because I didnt understand the video.  In a flipped classroom, we watch a short video that explains a key concept, then we go over it in class to check for understanding.  We didnt do that--we just further exasperated our misunderstanding by working on the worksheets.  This was a challenging concept that I think should be presented differently in the future in order to optimize student understanding of the material.","These slides/video should have been posted sooner."
"Thank you for teaching our class. Your enthusiasm was completely apparent and appreciated. You did a great job of explaining the baroreflex. As I scroll back through my notes, I feel like a got a strong understanding of the baroreflex from your lecture, including its relation to pathologies like obesity. I liked how you took the time to do the tilt table experiment but given that there wasnt a pronounced change in either US or the HR, it wasnt very clear what we were observing. I understood the concept after you debriefed it but perhaps a conversation could occur before the experiment to discuss what we expect to happen and then be looking for that in particular. The time that we took to talk with our peers about the different cases or questions you presented was also great. One difficulty I had with your lecture was with the RAAS system portion. It seemed very surface level and I think we are expected to know more detail than what was explained for our Step 1 exam. RAAS by itself could have been a whole lecture so perhaps one solution would be to assign the Khan academy videos on RAAS, telling us which one or two videos you want us to watch. Otherwise, I thought you did an excellent job!",,
"Very well organized lecture slides and clear instruction.",,
,,
,"I think we need more clear instructions for the in class activity.",
,"Dr. Habeckers lecture seemed somewhat disorganized and I had trouble knowing what were the take away points from her lecture.",
,,
,,
,,
,,
,,
"Greatly appreciated getting the objectives early, greatly appreciated publishing the anatomy lab schedule.  I also really liked doing dissection.","I would have appreciated a study guide to review more of the information before class.  Ideally this would be similar to the one that Dr. Chien provided.",
"Appreciated the study guide, but it would be nice to have more information in one place (instead of a study guide and drug sheet as different documents).","I liked the discussion on the drugs but would have appreciated more discussion on the general function of the receptors (Alpha-2 = self regulation receptor?).   I liked the discussion on the drugs but would have appreciated more discussion on the general function of the receptors (Alpha-2 = self regulation receptor?) to maintain homeostasis rather than as pharmacological targets.",
"I liked the class discussion.","I would have appreciated a study guide to review more of the information before class.  Ideally this would be similar to the one that Dr. Chien provided.",
,,
,,
"Excellent organization and description of the different types of shock. For future reference, yes, students would like slides ahead of time and you can hide any answers by taking out that slide and providing it on a post-session powerpoint.",,
"Very cleared learning objectives and the Princess Bride references made it fun. I like that we had to try to understand the different presentations from the different types of shock.",,
,"I would have appreciated a study guide to review more of the information before class.  Ideally this would be similar to the one that Dr. Chien provided.  I also am not certain we covered all of the listed objectives (there were quite a few that were wordy).",
,,
,,
"clear and concise","I like the sheet handouts for the sympathetic system.  However, I think it would be more helpful if they were like coloring sheets.  Already filled out  with us going in and coloring each pre and post ganglia.  Thats how I ended up studying this material, which I found really helpful.",
"very knowledgeable","https://www.youtube.com/watch?v=yHc8-rzRRHM#t=19<br>I added this link because its 1 set of videos on this pharmacology that I found really helpful.  I liked the way the instructor organized the information and I felt like it was very clear.  I think it would be helpful if this set of videos was assigned as pre-work or if you even took the structure of these videos and laid out your lecture similarly.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"A lot of useful information","So many different types of resources--you have to search many different documents to find an answer.  It would be helpful if the professor could make the information more concise--for example her charts were wonderful.  If more charts were utilized instead of only just having paragraph form description of drugs, it would make it easier for students to compare/contrast these drugs. Also, the last chart regarding atropine was never discussed in class.  That chart was extremely important to know for the test and we spent zero time on it in class.  We had three hours of class and the time was not used efficiently.  In the future, it would greatly benefit students to efficiently use the time to cover topics the instructor finds essential and foundational; it would also be useful to discuss the drugs in class.",
"Clear lecture.","Topics seemed all over the place--next time it would be helpful if there was a more clear topic/objective.",
"Online lecture was good. Annotations were good.","Time was not used wisely in class.  This is out only alotted histology time and the instructors thought it would be a good idea to crash SlideBox at the beginning of it.  Many students were unable to log on to SlideBox and participate in class.  These students like valuable time with pathologists who could help answer their questions.  Furthermore, many objectives were not mentioned in the online lecture.  It would be helpful if the information for the objectives werent in so many places--it feels like the instructors are cramming in all of these different concepts and telling students to go learn it on their own, then when students come to class your main resource for asking questions (SlideBox) will be shut down.",
"Questions were thought-provoking and demonstration was engaging.","Time did not seem well utilized in class.",
"Useful information.","Not a very engaging lecture.",
"Awesome!  just awesome!",,
"Well organized, concise, clear.  Started from the basics.",,
,,
"Princess of the Bride was weaved in which was engaging.  Information was organized and clearly presented.","Post slides before class, ideally by the Friday before your class.  Create a separate document containing the slides with the answers and post those after the lecture.",
,"Dr. Habecker posted revised answers to iRAT questions in her lecture slides.  These answers do not match what is posted under the iRAT section.  This can lead to students thinking that the iRAT slides are factually correct, when actually some of the information has been changed according to Dr. Habeckers slides.  Instructors should coordinate their responses to ensure the most accurate information is given to students & that information is consistent throughout the material.",
,"Really had a hard time with the active learning activity, even having watched the video just the night before. The video itself was very challenging to follow as a first pass through the material, and then the exercise in class expected us to regurgitate that. Unfortunately, I think it was an extremely poor use of time, but it could be vastly improved in a couple ways. One way would be to have a more basic into video to get our feet on the ground. A second thing would be to have more instruction at the beginning of class to build on the basics from the video. After that, the active learning exercise would have worked as designed. However, as it was presented, the pre work video was better used as final review.","Really unclear how Dr. Nelsens lecture fit as the first lecture of our block, and how it fits into everything else. Seems like we dove straight into very detailed stuff without learning the big picture first."
"Really fantastic use of clicker questions in the last half of her presentation. I cant say enough about that. It was great to spend time and discuss them, think through the physiology, etc. She did one of the next examples of these in depth clicker questions we have had so far and it was very effective for helping me reason through the physiology.","Unfortunately, i didnt find the worksheets at the beginning to be a good active learning exercise. Simply looking things up is something we can do at home and discourages those of us who show up. I think it would have been better to have that material presented traditionally, and then use those charts to work more with reasoning through the physiology in an active manner like we did later on in her presentation.<br>Additionally, it seemed like there were a lot of inconsistencies in terms of what drugs were involved between the worksheet, drug list, the study guide, and the lecture. Specifically, drugs which appeared on the worksheet were nowhere in the slides or drug list. This made it more difficult to figure out specifically what drugs we were responsible for being familiar with.",
,,
"Great format as always. Really helpful to have the stuff already annotated in slidebox. Also nice to have multiple people circulating.","Unfortunately my connection to slidebox was crippled completely for the rest of the session after we tried to crash the server. Maybe this would have been better to do near the end of the session, since I wasnt able to get nearly as much out of this session due to computer issues as I was the first session.",
"Really nice clear diagrams and graphics on the slides. Also did a good job of incorporating the previous lectures concept slide. Did a good job of explaining the concepts clearly.","Didnt find the active learning exercises to be particularly useful. It seemed as though they were very open ended with no right answers. This could be improved if she refocused us and put us on the right track at the end. However, as it happened, we seemed to just listen to speculative comments from our classmates but didnt actually learn the correct information very well.",
,,
,,
,"Powerpoints often had too much material- it wasnt covered in lecture.",
"Really well-presented, nicely organized, with clear slides.","Would really like to have a copy of the slides. A large number of people take notes on the slides",
,,
"The group activities and team learning are a waste of time - instead of having us fill out worksheets just provide all of the materials ahead of time completely filled in and then let us just memorize it.  This is a much better use of our time.","The group activity and time spent filling our worksheets was a waste of time and I didnt get anythign out of it.  I had to go relearn everything on my own.  Just give us the material and lecture, make it simple for us.",
"The group activities and team learning are a waste of time - instead of having us fill out worksheets just provide all of the materials ahead of time completely filled in and then let us just memorize it.  This is a much better use of our time.  There was very little information of high yield in the lecture, just base everything off of the boards material and it will be much easier for us.","The group activity and time spent filling our worksheets was a waste of time and I didnt get anythign out of it.  I had to go relearn everything on my own.  Just give us the material and lecture, make it simple for us.",
"The annotations were extremely helpful to get through this material! If you could provide a study guide with the material from the recorded lectures that would be really great!",,
"The group activities and team learning are a waste of time - instead of having us fill out worksheets just provide all of the materials ahead of time completely filled in and then let us just memorize it.  This is a much better use of our time.  Try to focus everything on boards materials and make it clear and concise, focus on HIGH YIELD materials and emphasize this stuff a LOT.","The group activity and time spent filling our worksheets was a waste of time and I didnt get anythign out of it.  I had to go relearn everything on my own.  Just give us the material and lecture, make it simple for us.",
,,
"I truly believe that TBL is a waste of my time, and I dont feel like I gain any knowledge from these activities.  If it werent required to be there I wouldnt go.  Please stop wasting our time and take this OUT of the curriculum.",,"STOP DOING TBL"
,,
"Instructor has great use of cases and examples. Lecture pace is reasonably timed.","Some figures and slides on powerpoint are a bit obtuse and lack explanation. Captions would be very helpful for review/preview of slides.",
,,
,,
,,
,,
,,
"Awesome instructor!!",N/A,
,,
,,
,,
,,
,,
,,
"She is excellent in the anatomy lab.","The lecture was poor and confusing.",
,,
,,
,,
,,
,,
,,
"Good pre-recorded lecture but I would have preferred having the lecture instead of having inadequate ""TBL.""",,
,,
,,
,,
"Very clear and concise, dont do group activities, they are a waste of our time.  Just lecture us and please provide the complete filled out powerpoint with all tables and things included the week BEFORE class so we can prepare.","Post slides early!!!!",
"Please provide all slides and tables completed fully BEFORE lecture.  Do not do ""post-lecture powerpoints""  this is confusing and annoying when trying to take notes.  Also, dont do group activities they are a waste of time.  Just lecture clearly and concisely and focus the information to what we need for the boards.",,
,,
,,
,,
"Very easy to follow material. Did a good job pointing to the main points.",,
"{quote}active learning"" is not handing us a worksheet and telling us to find the answers. If the testable material is going to be a majority of the drugs from the drug list, I expect to be TAUGHT those drugs. I felt I had to teach myself all of the material presented. Worksheets are best as a reinforcement of lectured materials not as a pre-work.","If you want us to know the drugs before coming to the lecture instead of telling us we can complete the worksheet by ""find it in the drug list"", pre-record a lecture that you would give us and we can watch to make sure we are adequately prepared.","Considering this is the CARDIOpulmonary and renal block and we are working through the heart for this first section, learning about nutrition before learning about cardiac muscle, cardiac rhythm, or anything related to cardiac physiology seems highly questionable. For example, we learned about drugs to treat various pathologies without exposure to any of the underlying pathologies that we would treat with said drugs. Very hard to follow lectures when there is absolutely no ""structure"" or as Dr. Gosselin likes to say, an iceberg to put any of the material. From the multitude of review books I have,  I am constantly jumping section to section and there doesnt seem to be any organization. I would prefer to have the background information delivered first in the traditional lecture format, with supplemental information such as nutrition at the end of the block when I can fully appreciate and understand the clinical application nutrition, etc."
,,"Considering this is the CARDIOpulmonary and renal block and we are working through the heart for this first section, learning about nutrition before learning about cardiac muscle, cardiac rhythm, or anything related to cardiac physiology seems highly questionable. For example, we learned about drugs to treat various pathologies without exposure to any of the underlying pathologies that we would treat with said drugs. Very hard to follow lectures when there is absolutely no ""structure"" or as Dr. Gosselin likes to say, an iceberg to put any of the material. From the multitude of review books I have,  I am constantly jumping section to section and there doesnt seem to be any organization. I would prefer to have the background information delivered first in the traditional lecture format, with supplemental information such as nutrition at the end of the block when I can fully appreciate and understand the clinical application nutrition, etc."
,,"Considering this is the CARDIOpulmonary and renal block and we are working through the heart for this first section, learning about nutrition before learning about cardiac muscle, cardiac rhythm, or anything related to cardiac physiology seems highly questionable. For example, we learned about drugs to treat various pathologies without exposure to any of the underlying pathologies that we would treat with said drugs. Very hard to follow lectures when there is absolutely no ""structure"" or as Dr. Gosselin likes to say, an iceberg to put any of the material. From the multitude of review books I have,  I am constantly jumping section to section and there doesnt seem to be any organization. I would prefer to have the background information delivered first in the traditional lecture format, with supplemental information such as nutrition at the end of the block when I can fully appreciate and understand the clinical application nutrition, etc."
,"I liked the tilt table demonstration",
,,
,,
,:),
,,"Considering this is the CARDIOpulmonary and renal block and we are working through the heart for this first section, learning about nutrition before learning about cardiac muscle, cardiac rhythm, or anything related to cardiac physiology seems highly questionable. For example, we learned about drugs to treat various pathologies without exposure to any of the underlying pathologies that we would treat with said drugs. Very hard to follow lectures when there is absolutely no ""structure"" or as Dr. Gosselin likes to say, an iceberg to put any of the material. From the multitude of review books I have,  I am constantly jumping section to section and there doesnt seem to be any organization. I would prefer to have the background information delivered first in the traditional lecture format, with supplemental information such as nutrition at the end of the block when I can fully appreciate and understand the clinical application nutrition, etc."
Very,,"Considering this is the CARDIOpulmonary and renal block and we are working through the heart for this first section, learning about nutrition before learning about cardiac muscle, cardiac rhythm, or anything related to cardiac physiology seems highly questionable. For example, we learned about drugs to treat various pathologies without exposure to any of the underlying pathologies that we would treat with said drugs. Very hard to follow lectures when there is absolutely no ""structure"" or as Dr. Gosselin likes to say, an iceberg to put any of the material. From the multitude of review books I have,  I am constantly jumping section to section and there doesnt seem to be any organization. I would prefer to have the background information delivered first in the traditional lecture format, with supplemental information such as nutrition at the end of the block when I can fully appreciate and understand the clinical application nutrition, etc."
,,
"Very knowledgable. Relevant information was covered in depth and explained thoroughly.",,"Considering this is the CARDIOpulmonary and renal block and we are working through the heart for this first section, learning about nutrition before learning about cardiac muscle, cardiac rhythm, or anything related to cardiac physiology seems highly questionable. For example, we learned about drugs to treat various pathologies without exposure to any of the underlying pathologies that we would treat with said drugs. Very hard to follow lectures when there is absolutely no ""structure"" or as Dr. Gosselin likes to say, an iceberg to put any of the material. From the multitude of review books I have,  I am constantly jumping section to section and there doesnt seem to be any organization. I would prefer to have the background information delivered first in the traditional lecture format, with supplemental information such as nutrition at the end of the block when I can fully appreciate and understand the clinical application nutrition, etc."
"In the lab her pro-section presentations are awesome. And the video pre-work was very helpful.","The organization and clarity of her lecture was a little rough. Looking for a more cohesive take on the subject.",
,,"Considering this is the CARDIOpulmonary and renal block and we are working through the heart for this first section, learning about nutrition before learning about cardiac muscle, cardiac rhythm, or anything related to cardiac physiology seems highly questionable. For example, we learned about drugs to treat various pathologies without exposure to any of the underlying pathologies that we would treat with said drugs. Very hard to follow lectures when there is absolutely no ""structure"" or as Dr. Gosselin likes to say, an iceberg to put any of the material. From the multitude of review books I have,  I am constantly jumping section to section and there doesnt seem to be any organization. I would prefer to have the background information delivered first in the traditional lecture format, with supplemental information such as nutrition at the end of the block when I can fully appreciate and understand the clinical application nutrition, etc."
,,"Considering this is the CARDIOpulmonary and renal block and we are working through the heart for this first section, learning about nutrition before learning about cardiac muscle, cardiac rhythm, or anything related to cardiac physiology seems highly questionable. For example, we learned about drugs to treat various pathologies without exposure to any of the underlying pathologies that we would treat with said drugs. Very hard to follow lectures when there is absolutely no ""structure"" or as Dr. Gosselin likes to say, an iceberg to put any of the material. From the multitude of review books I have,  I am constantly jumping section to section and there doesnt seem to be any organization. I would prefer to have the background information delivered first in the traditional lecture format, with supplemental information such as nutrition at the end of the block when I can fully appreciate and understand the clinical application nutrition, etc."
,,
,,
,,
,,
,,
,,
,,
"The pre-work videos were very, very high quality. I really like the use of animations to help emphasize certain points. Worksheets were very useful.",,
"Worksheets are great study material",,
,,
"Willing to try new things. The ""low quality"" version that allowed us to speed it up was AMAZINGLY helpful; please continue to make these videos like this. I think you guys have found the absolute best format for histology and now look forward to sessions.","I know that this is difficult to control, but if youre going to present on Friday, see if you can get an afternoon slot - many people cannot watch the video before the exam but will gladly use up lunch time to watch the video.",
"I enjoyed the discussions and thought they were very useful.",,
,,
,,
"the online pre-lecture was the most helpful. The coloring worksheets were not helpful. If she had summarized the lecture before we had started working on the worksheets this lesson would have been more effective",,
,"I think this was an effective lecture but I wish we had gone over the final table but we ran out of time. This lecture helped me learn the drugs because she based the information from a fundamental understanding of the process/mechanism.",
,"This lecture was effective although it felt a bit disorganized. I would like to bring up one of the comments Dr. Moulton made during lecture. He made a joke about lynching which was not intended to be malicious but lynching is a racially and historically charged word and can be very triggering. I felt offended and surprised that Dr. Moulton would use the word.",
,"I appreciate the change that the histology",
,,
"Great lecturer. Very clear and enthusiastic.",,
,,
"Enthusiastic lecturer, very clear","Please release a version of the powerpoints to us without the answers. Its very useful to take notes during lecture.",
,"I think it would have been better if we just filled out the worksheets with Dr. Nelson as a group. Working in small groups was difficult because I could only focus on one of the 4 pathways and we had to then rush through the answers which was the really important stuff and where I learned the most.",
,,
,,
"Dr. Schnapp has continually listened to student feedback and improved his lectures and overall approach. His pre-work is incredibly helpful and tagging structures on slidebox has been a game changer. I used to really dislike histology and Im starting to really enjoy it and ""get"" it. I think Dr. Schnapp has helped with this transformation.",,
,,
,,
"Very knowledgeable.  And I liked the activities.",,
,"I am having a lot of troubles with the problem representation and summary statement part of our Monday morning sessions. It feels like the instructions are always changing. For example, we were just told to not put the patients age at the beginning but instead at the end. Since this part of the curriculum is ""evidence-based"" Im wondering the reason for this change. Does the research suggest one way or another? Have recent articles come out suggesting a change? Whats the basis for doing this? In future sessions I would like more clarification on the research behind this part of our curriculum because I think everyone in our class is confused and getting more confused each time the instructions change. I am a huge proponent of basing our curriculum off of high quality social science and psychology research but--like we are encouraged to do with all research as medical students--I would become more familiar with the reasoning behind writing problem representations and summary statements.",
,,
,,
,,
,,
,,
,,
,,
,,
,"I think the pace of the class was pretty slow and I wish we could have gone over the receptors more. One of the online pharmacology videos for KISS Pharma teaches the receptors first and then teaches the drugs in regards to receptors.",
,"I think we spent way too much time on the active learning sessions. Next time if you could set a specific amount of time to discuss a question and then stick to it, we can make it through the material at a quicker pace and still have active learning parts.",
